product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
"ძეხვი შებოლილი ""შირნჰოფერი"" ვენური",14,26,2,300,9.45,100,,0,ძეხვეული
სოსისი „საოჯახო“ რძიანი,12,22,2.5,260,4.35,100,,0,ძეხვეული
"სოსისი ""პრემიო"" გერმანული",12,22,2.5,260,5.2,100,,0,ძეხვეული
"სოსისი ""პრემიო"" რძიანი",12,22,2.5,260,4.9,100,,0,ძეხვეული
"სოსისი ""პრემიო"" კანადური",12,22,2.5,260,4.65,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" გაუდას ყველით",25,27,1,350,9.85,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" ბავარიული",12,22,2.5,260,8.95,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" სასკოლო",12,22,2.5,260,8.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი დაჭრილი",14,26,2,300,6.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ალანი"" საქონლის დაჭრილი",14,26,2,300,6.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" ონეჟსკაია",14,26,2,300,13.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი",14,26,2,300,24.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პიკოლინო",14,26,2,300,9.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ალანი"" ზერნისტი",14,26,2,300,24.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" სალიამი ასტორია",14,26,2,300,13.95,100,,0,ძეხვეული
"სოსისი ""პრემიო"" ივერია",12,22,2.5,260,6.95,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" ივერია საქონლის",12,22,2.5,260,9.95,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" ივერია",12,22,2.5,260,9.4,100,,0,ძეხვეული
"ძეხვი მოხარშული ""შირნჰოფერი"" საექიმო",14,26,2,300,9.55,100,,0,ძეხვეული
"ძეხვი მოხარშული ""პრემიო"" გერმანული",14,26,2,300,9.45,100,,0,ძეხვეული
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",14,26,2,300,5.35,100,,0,ძეხვეული
"ძეხვი მოხარშული ""პრემიო"" საექიმო",14,26,2,300,4.65,100,,0,ძეხვეული
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",14,26,2,300,5.35,100,,0,ძეხვეული
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",14,26,2,300,11.95,100,,0,ძეხვეული
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",14,26,2,300,12.95,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" სპეც-ივერია",12,22,2.5,260,12.95,100,,0,ძეხვეული
"სარდელი ""ლიდერ ფუდი"" ბავარიული",14,26,2,300,9.95,100,,0,ძეხვეული
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ემენტალის ყველით 300გრ",25,27,1,350,12.95,100,,0,ძეხვეული
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ბავარიული",12,22,2.5,260,11.95,100,,0,ძეხვეული
"შაშხი ""ლიდერ ფუდი"" ბავარიული",14,26,2,300,18.45,100,,0,ძეხვეული
"შაშხი ""ლიდერ ფუდი"" ღორის ბარკლის",27,14,0,242,14.85,100,,0,ძეხვეული
"შაშხი ""ლიდერფუდი"" რულეტი ღორის 300გრ",27,14,0,242,8.2,100,,0,ძეხვეული
"პაშტეტი ""შირნჰოფერი""",14,26,2,300,6.45,100,,0,ძეხვეული
"ბეკონი მოხარშული ""შირნჰოფერი"" შტირიული",12,42,1.5,450,11.55,100,,0,ძეხვეული
"ბეკონი ""შირნჰოფერი"" დაჭრილი",12,42,1.5,450,11.25,100,,0,ძეხვეული
"კვერცხი ""ზოგე"" ქათმის /1",12.6,10.6,1.1,155,4.7,,50.0,0,კვერცხი
"კვერცხი ""კოდა"" ქათმის /0",12.6,10.6,1.1,155,5.95,,500.0,0,კვერცხი
"კვერცხი ""კუმისი"" ქათმის /0",12.6,10.6,1.1,155,6.25,,500.0,0,კვერცხი
"კვერცხი ""კუმისის ფერმერი"" ქათმის",12.6,10.6,1.1,155,6.35,,10.0,0,კვერცხი
"კვერცხი ""კუმისი"" ქათმის /1",12.6,10.6,1.1,155,6.1,,50.0,0,კვერცხი
"ყველი ""პრეზიდენტი"" ლაბნე",25,27,1,350,10.65,100,,0,ყველი
"ყველის მაგვარი ""სვანური"" სახაჭაპურე",25,27,1,350,6.95,100,,0,ყველი
"ყველი ""სანებო"" ქარხნული",25,27,1,350,19.6,100,,0,ყველი
"ყველი ""ალპური ჯავახეთის ყველი"" სულგუნი",20,22,0.5,285,12.95,100,,0,ყველი
"ყველი ""პრეზიდენტი"" ლაბნე",25,27,1,350,6.2,100,,0,ყველი
"მდნარი ყველი ""პრეზიდენტი"" ჩიზბურგერი /ფენა/",25,27,1,350,8.45,100,,0,ყველი
"მდნარი ყველი ""პრეზიდენტი"" ლორით /ფენა/",25,27,1,350,8.45,100,,0,ყველი
"მდნარი ყველი ""პრეზიდენტი"" ნაღების /ფენა/ 150გრ",25,27,1,350,8.45,100,,0,ყველი
"მდნარი ყველი ""პრეზიდენტი"" ნაღების /ვანა/",25,27,1,350,8.95,100,,0,ყველი
"კრემ ყველი ""პრეზიდენტი""",25,27,1,350,9.55,100,,0,ყველი
