product	protein	fat	carbs	calories	price	sale_type	unit_weight	total_package_weight	is_promo
მარგარინი "ბიზიმი"	0	0	0	0	2.1	weight	0	250	0
მარგარინი "უსტამი"	0	0	0	0	1.9	weight	0	250	0
კარაქი "პრეზიდენტი" ნაღების 82%	0	0	0	0	11.65	weight	0	200	0
კარაქი "ფერმა" ნაღების 82.5%	0	0	0	0	10.95	weight	0	200	0
კარაქი "პრეზიდენტი" ნაღების 82%	0	0	0	0	23.95	weight	0	400	0
სპრედი "ოდა" 82%	0	0	0	0	2.6	weight	0	200	0
სპრედი "ოდა" 82%	0	0	0	0	9.95	weight	0	850	0
ერბო "ტექსუნი"	0	0	0	0	11.95	weight	0	910	0
მარგარინი "ვიტამი"	0	0	0	0	2.35	weight	0	250	0
მარგარინი "დაჩა"	0	0	0	0	5.4	weight	0	400	0
მარგარინი "ონა"	0	0	0	0	2.25	weight	0	250	0
რძე & ნაღები	0	0	0	0	0	package_weight	0	0	0
რძე "დომიკ ვ დერევნე" ულტრაპასტერიზებული 2,5%	0	0	0	0	5.65	package_weight	0	950	0
რძე საბავშვო "სოფლის ნობათი" ულტრაპასტერიზებული 2,5%	0	0	0	0	5.85	package_weight	0	1000	0
რძე "დომიკ ვ დერევნე" ულტრაპასტერიზებული 3,2%	0	0	0	0	5.8	package_weight	0	950	0
რძე "დომიკ ვ დერევნე" 6%	0	0	0	0	5.95	package_weight	0	950	0
რძე "დომიკ ვ დერევნე" ულტრაპასტერიზებული 1,5%	0	0	0	0	5.75	package_weight	0	950	0
ნაღები რძის "პრეზიდენტი" 35,1%	0	0	0	0	17.25	package_weight	0	500	0
რძე "სვანური" 3,2%	0	0	0	0	4.2	package_weight	0	900	0
რძის კოქტეილი "ჩუდო" შოკოლადის 3%	0	0	0	0	3	weight	0	200	0
რძე "სოფლის ნობათი" პასტერიზებული 2,5%	0	0	0	0	5.3	package_weight	0	930	0
რძე "სოფლის ნობათი" პასტერიზებული 3,2%	0	0	0	0	5.3	package_weight	0	930	0
რძე "პარმალატი" ულაქტოზო 1.8%	0	0	0	0	9.95	package_weight	0	1000	0
რძე 2,2%	0	0	0	0	2.95	package_weight	0	1000	0
ნაღები რძის "დომიკ ვ დერევნე" 20%	0	0	0	0	8.9	weight	0	480	0
რძის კოქტეილი "ჩუდო" შოკოლადის 2%	0	0	0	0	7.95	weight	0	960	0
რძე "სანტალი" ულტრაპასტერიზებული ნუშის სამარხვო	0	0	0	0	13.85	package_weight	0	1000	0
არაჟანი	0	0	0	0	0	package_weight	0	0	0
